,CV,TL,AL,TWC,AWC,TSC,ASC,TALRATIO,TAWCRATIO,TASCRATIO,TP,AP,TAPD,TAPMEAN,TS,AS,TASD,TASMEAN
19,4.5,81,1696,12,303,1,17,0.047759433962264154,0.039603960396039604,0.058823529411764705,0.2,0.029777777777777775,-0.17022222222222225,0.11488888888888889,0.2,0.029777777777777775,-0.17022222222222225,0.22977777777777778
20,4.0,86,13900,14,2595,1,155,0.00618705035971223,0.005394990366088632,0.0064516129032258064,0.0,0.11559892110473506,0.11559892110473506,0.05779946055236753,0.0,0.11559892110473506,0.11559892110473506,0.11559892110473506
21,3.0,68,5247,8,886,1,28,0.012959786544692205,0.009029345372460496,0.03571428571428571,0.0,0.07133323026180169,0.07133323026180169,0.035666615130900844,0.0,0.07133323026180169,0.07133323026180169,0.07133323026180169
22,3.5,70,3313,10,521,1,16,0.02112888620585572,0.019193857965451054,0.0625,-0.20833333333333337,0.009932659932659935,0.2182659932659933,-0.09920033670033672,-0.20833333333333337,0.009932659932659935,0.2182659932659933,-0.19840067340067344
23,4.5,76,1404,10,225,1,9,0.05413105413105413,0.044444444444444446,0.1111111111111111,0.0,0.20680415263748594,0.20680415263748594,0.10340207631874297,0.0,0.20680415263748594,0.20680415263748594,0.20680415263748594
24,4.5,50,1826,8,341,1,22,0.027382256297918947,0.02346041055718475,0.045454545454545456,0.0,0.04986111111111112,0.04986111111111112,0.02493055555555556,0.0,0.04986111111111112,0.04986111111111112,0.04986111111111112
25,4.0,75,5928,14,1066,1,74,0.012651821862348178,0.013133208255159476,0.013513513513513514,0.225,-0.05309663313739401,-0.278096633137394,0.085951683431303,0.225,-0.05309663313739401,-0.278096633137394,0.171903366862606
26,2.5,81,8569,12,1452,1,56,0.009452678258840004,0.008264462809917356,0.017857142857142856,-0.24166666666666667,0.01986449147560258,0.26153115814226924,-0.11090108759553205,-0.24166666666666667,0.01986449147560258,0.26153115814226924,-0.2218021751910641
27,3.0,63,2062,10,356,1,11,0.030552861299709022,0.028089887640449437,0.09090909090909091,0.0,0.10666666666666667,0.10666666666666667,0.05333333333333334,0.0,0.10666666666666667,0.10666666666666667,0.10666666666666667
28,3.0,79,5785,12,998,1,53,0.013656006914433881,0.012024048096192385,0.018867924528301886,-0.04166666666666667,0.08034981332600381,0.12201647999267048,0.01934157332966857,-0.04166666666666667,0.08034981332600381,0.12201647999267048,0.03868314665933714
29,2.5,49,1439,9,274,1,15,0.034051424600416956,0.032846715328467155,0.06666666666666667,-0.13181818181818183,0.12580086580086577,0.25761904761904764,-0.00300865800865803,-0.13181818181818183,0.12580086580086577,0.25761904761904764,-0.00601731601731606
30,4.0,86,7098,13,1185,1,48,0.012116089039165962,0.010970464135021098,0.020833333333333332,0.0,-0.08132271374458874,-0.08132271374458874,-0.04066135687229437,0.0,-0.08132271374458874,-0.08132271374458874,-0.08132271374458874
31,3.0,71,5162,13,889,1,29,0.013754358775668345,0.014623172103487065,0.034482758620689655,0.0,0.021813725490196084,0.021813725490196084,0.010906862745098042,0.0,0.021813725490196084,0.021813725490196084,0.021813725490196084
32,4.5,43,722,8,139,1,6,0.05955678670360111,0.05755395683453238,0.16666666666666666,0.0,0.07023809523809524,0.07023809523809524,0.03511904761904762,0.0,0.07023809523809524,0.07023809523809524,0.07023809523809524
33,3.0,60,3512,11,621,1,16,0.017084282460136675,0.017713365539452495,0.0625,0.05,0.2329948646125116,0.18299486461251158,0.1414974323062558,0.05,0.2329948646125116,0.18299486461251158,0.2829948646125116
34,4.5,73,2636,10,453,1,14,0.027693474962063733,0.02207505518763797,0.07142857142857142,0.0,0.21196563852813854,0.21196563852813854,0.10598281926406927,0.0,0.21196563852813854,0.21196563852813854,0.21196563852813854
35,3.5,70,750,8,125,1,2,0.09333333333333334,0.064,0.5,-0.16666666666666666,0.29343434343434344,0.4601010101010101,0.06338383838383839,-0.16666666666666666,0.29343434343434344,0.4601010101010101,0.12676767676767678
36,4.0,89,3017,17,523,1,28,0.029499502817368246,0.032504780114722756,0.03571428571428571,0.0,0.07571195144724556,0.07571195144724556,0.03785597572362278,0.0,0.07571195144724556,0.07571195144724556,0.07571195144724556
37,3.0,56,505,12,91,1,4,0.11089108910891089,0.13186813186813187,0.25,0.0,-0.023809523809523808,-0.023809523809523808,-0.011904761904761904,0.0,-0.023809523809523808,-0.023809523809523808,-0.023809523809523808
38,5.0,66,573,12,96,1,4,0.11518324607329843,0.125,0.25,0.0,-0.03125,-0.03125,-0.015625,0.0,-0.03125,-0.03125,-0.03125
39,3.5,72,4028,13,669,1,20,0.01787487586891758,0.01943198804185351,0.05,0.5,0.1420470943198216,-0.3579529056801784,0.32102354715991077,0.5,0.1420470943198216,-0.3579529056801784,0.6420470943198215
